epoch: 0	train ppl: 559610.6465451259	val ppl: 8062.208810414164	best val: 8062.208810414164	time (s) spent in epoch: 172.71122288703918
epoch: 1	train ppl: 5256.460637737916	val ppl: 728.987073058994	best val: 728.987073058994	time (s) spent in epoch: 171.340740442276
epoch: 2	train ppl: 1109.7219635612262	val ppl: 1413.0948903508759	best val: 728.987073058994	time (s) spent in epoch: 171.47077751159668
epoch: 3	train ppl: 848.0506292699814	val ppl: 515.6584950226398	best val: 515.6584950226398	time (s) spent in epoch: 171.51565980911255
epoch: 4	train ppl: 624.6402660301529	val ppl: 663.3214644232618	best val: 515.6584950226398	time (s) spent in epoch: 171.4844455718994
epoch: 5	train ppl: 501.73309761244866	val ppl: 477.20748495133597	best val: 477.20748495133597	time (s) spent in epoch: 170.23853540420532
epoch: 6	train ppl: 422.2134871651287	val ppl: 736.9410621700896	best val: 477.20748495133597	time (s) spent in epoch: 170.1108422279358
epoch: 7	train ppl: 365.90830697720577	val ppl: 332.64529835743633	best val: 332.64529835743633	time (s) spent in epoch: 170.0843050479889
epoch: 8	train ppl: 311.74056653580914	val ppl: 319.5041438866391	best val: 319.5041438866391	time (s) spent in epoch: 170.09135508537292
epoch: 9	train ppl: 272.2986002430881	val ppl: 275.6360451151782	best val: 275.6360451151782	time (s) spent in epoch: 170.1084976196289
epoch: 10	train ppl: 242.98745489110377	val ppl: 254.1870492808674	best val: 254.1870492808674	time (s) spent in epoch: 170.0841257572174
epoch: 11	train ppl: 211.43881980738726	val ppl: 218.1564662923977	best val: 218.1564662923977	time (s) spent in epoch: 169.98995757102966
epoch: 12	train ppl: 184.66596735143125	val ppl: 255.5542483231071	best val: 218.1564662923977	time (s) spent in epoch: 170.08962202072144
epoch: 13	train ppl: 171.20740559658833	val ppl: 201.51247910102788	best val: 201.51247910102788	time (s) spent in epoch: 170.05758118629456
epoch: 14	train ppl: 154.91541403240805	val ppl: 207.5122771252946	best val: 201.51247910102788	time (s) spent in epoch: 170.05474948883057
epoch: 15	train ppl: 142.67015376619975	val ppl: 188.39518635904665	best val: 188.39518635904665	time (s) spent in epoch: 170.07467031478882
epoch: 16	train ppl: 131.10058023310827	val ppl: 179.37385415121673	best val: 179.37385415121673	time (s) spent in epoch: 170.10391545295715
epoch: 17	train ppl: 119.43569740134284	val ppl: 177.94679124943804	best val: 177.94679124943804	time (s) spent in epoch: 170.0912320613861
epoch: 18	train ppl: 110.65610385764472	val ppl: 177.53846644821525	best val: 177.53846644821525	time (s) spent in epoch: 170.0477592945099
epoch: 19	train ppl: 101.21094753589004	val ppl: 193.03642942840435	best val: 177.53846644821525	time (s) spent in epoch: 170.0429162979126
epoch: 20	train ppl: 96.72783507582965	val ppl: 172.98904744522437	best val: 172.98904744522437	time (s) spent in epoch: 169.99888348579407
epoch: 21	train ppl: 92.09294681635933	val ppl: 166.16222010386932	best val: 166.16222010386932	time (s) spent in epoch: 169.99893045425415
epoch: 22	train ppl: 84.58857962125914	val ppl: 168.19133362188364	best val: 166.16222010386932	time (s) spent in epoch: 170.09576630592346
epoch: 23	train ppl: 79.193364919599	val ppl: 177.18622020323994	best val: 166.16222010386932	time (s) spent in epoch: 170.0468921661377
epoch: 24	train ppl: 73.85518291119804	val ppl: 178.34653549476445	best val: 166.16222010386932	time (s) spent in epoch: 170.0475025177002
epoch: 25	train ppl: 69.91958882379804	val ppl: 186.11068463076614	best val: 166.16222010386932	time (s) spent in epoch: 170.09448337554932
epoch: 26	train ppl: 64.92963577360607	val ppl: 185.34744284625503	best val: 166.16222010386932	time (s) spent in epoch: 170.0288164615631
epoch: 27	train ppl: 61.35210231444033	val ppl: 196.51840403034387	best val: 166.16222010386932	time (s) spent in epoch: 170.0464425086975
epoch: 28	train ppl: 56.56101516278451	val ppl: 202.73682150110474	best val: 166.16222010386932	time (s) spent in epoch: 169.99569034576416
epoch: 29	train ppl: 52.46660869700858	val ppl: 187.95704368101363	best val: 166.16222010386932	time (s) spent in epoch: 170.00003027915955
epoch: 30	train ppl: 49.91376242973265	val ppl: 196.11866349687082	best val: 166.16222010386932	time (s) spent in epoch: 170.0074691772461
epoch: 31	train ppl: 46.39803060067923	val ppl: 266.6160843830157	best val: 166.16222010386932	time (s) spent in epoch: 170.0898883342743
epoch: 32	train ppl: 44.33460461989372	val ppl: 222.5321966064074	best val: 166.16222010386932	time (s) spent in epoch: 170.02709436416626
epoch: 33	train ppl: 41.15421774819562	val ppl: 269.8885214682967	best val: 166.16222010386932	time (s) spent in epoch: 170.08381366729736
epoch: 34	train ppl: 38.866668907673755	val ppl: 270.5371718140843	best val: 166.16222010386932	time (s) spent in epoch: 170.0674707889557
epoch: 35	train ppl: 36.71705173246889	val ppl: 244.21128965232333	best val: 166.16222010386932	time (s) spent in epoch: 170.09454011917114
epoch: 36	train ppl: 33.804485836319266	val ppl: 264.96590799440617	best val: 166.16222010386932	time (s) spent in epoch: 170.0755693912506
epoch: 37	train ppl: 31.981399462365165	val ppl: 275.5570813186627	best val: 166.16222010386932	time (s) spent in epoch: 170.08820819854736
epoch: 38	train ppl: 30.484789610658947	val ppl: 308.68327429125446	best val: 166.16222010386932	time (s) spent in epoch: 170.1178162097931
epoch: 39	train ppl: 28.425844659989394	val ppl: 316.61736868360816	best val: 166.16222010386932	time (s) spent in epoch: 170.0862877368927
