epoch: 0	train ppl: 535.1221539080025	val ppl: 304.6980890527904	best val: 304.6980890527904	time (s) spent in epoch: 680.3509228229523
epoch: 1	train ppl: 298.22535761262134	val ppl: 249.7150074552133	best val: 249.7150074552133	time (s) spent in epoch: 681.9151382446289
epoch: 2	train ppl: 240.4890614272666	val ppl: 199.98466868487702	best val: 199.98466868487702	time (s) spent in epoch: 681.477489233017
epoch: 3	train ppl: 206.58850066728684	val ppl: 178.40642496420148	best val: 178.40642496420148	time (s) spent in epoch: 681.9918248653412
epoch: 4	train ppl: 183.40695790306395	val ppl: 167.43515862204657	best val: 167.43515862204657	time (s) spent in epoch: 681.321592092514
epoch: 5	train ppl: 166.11395205170857	val ppl: 157.093985769861	best val: 157.093985769861	time (s) spent in epoch: 681.9435160160065
epoch: 6	train ppl: 152.41791635916263	val ppl: 146.04426642130863	best val: 146.04426642130863	time (s) spent in epoch: 681.4533870220184
epoch: 7	train ppl: 141.18051537302867	val ppl: 142.32790540684167	best val: 142.32790540684167	time (s) spent in epoch: 681.7502658367157
epoch: 8	train ppl: 131.86515562823402	val ppl: 133.92886843657226	best val: 133.92886843657226	time (s) spent in epoch: 683.3938136100769
epoch: 9	train ppl: 124.06434373133796	val ppl: 129.61619099796619	best val: 129.61619099796619	time (s) spent in epoch: 682.3453273773193
epoch: 10	train ppl: 116.79667729152402	val ppl: 124.70418070946748	best val: 124.70418070946748	time (s) spent in epoch: 680.3715517520905
epoch: 11	train ppl: 110.66730077478708	val ppl: 121.89367528256533	best val: 121.89367528256533	time (s) spent in epoch: 680.0499279499054
epoch: 12	train ppl: 105.26506117712417	val ppl: 121.47516821057529	best val: 121.47516821057529	time (s) spent in epoch: 680.647997379303
epoch: 13	train ppl: 100.43963976283676	val ppl: 118.69646938917995	best val: 118.69646938917995	time (s) spent in epoch: 680.2245688438416
epoch: 14	train ppl: 95.65185423984903	val ppl: 117.66426564247827	best val: 117.66426564247827	time (s) spent in epoch: 680.6808669567108
epoch: 15	train ppl: 91.55533165235829	val ppl: 116.04970630064165	best val: 116.04970630064165	time (s) spent in epoch: 680.613035440445
epoch: 16	train ppl: 87.7598117036501	val ppl: 118.77556113945651	best val: 116.04970630064165	time (s) spent in epoch: 680.4465401172638
epoch: 17	train ppl: 84.24720097844153	val ppl: 114.84572911892327	best val: 114.84572911892327	time (s) spent in epoch: 680.3349916934967
epoch: 18	train ppl: 80.81076134885919	val ppl: 115.79003755244175	best val: 114.84572911892327	time (s) spent in epoch: 680.9373002052307
epoch: 19	train ppl: 77.85240061647679	val ppl: 117.72241616027294	best val: 114.84572911892327	time (s) spent in epoch: 685.1334791183472
epoch: 20	train ppl: 74.99594781288982	val ppl: 115.73459490059989	best val: 114.84572911892327	time (s) spent in epoch: 686.3597648143768
epoch: 21	train ppl: 72.33170776087445	val ppl: 113.0049932451238	best val: 113.0049932451238	time (s) spent in epoch: 687.2985262870789
epoch: 22	train ppl: 69.79876208810957	val ppl: 113.71169168422574	best val: 113.0049932451238	time (s) spent in epoch: 686.6243686676025
epoch: 23	train ppl: 67.69690015366074	val ppl: 114.02569053021283	best val: 113.0049932451238	time (s) spent in epoch: 687.1855781078339
epoch: 24	train ppl: 65.66870613112904	val ppl: 112.8703543949744	best val: 112.8703543949744	time (s) spent in epoch: 687.1050870418549
epoch: 25	train ppl: 63.55916969099628	val ppl: 114.40645284539121	best val: 112.8703543949744	time (s) spent in epoch: 685.133216381073
epoch: 26	train ppl: 61.87068775304144	val ppl: 113.58081224962403	best val: 112.8703543949744	time (s) spent in epoch: 680.4268317222595
epoch: 27	train ppl: 60.160872845763905	val ppl: 114.4715138764698	best val: 112.8703543949744	time (s) spent in epoch: 680.486442565918
epoch: 28	train ppl: 58.38810364020631	val ppl: 116.97388677433253	best val: 112.8703543949744	time (s) spent in epoch: 680.437744140625
epoch: 29	train ppl: 56.92124225783227	val ppl: 116.6454002900661	best val: 112.8703543949744	time (s) spent in epoch: 680.646279335022
epoch: 30	train ppl: 55.32481842689478	val ppl: 114.87884551398501	best val: 112.8703543949744	time (s) spent in epoch: 680.5963616371155
epoch: 31	train ppl: 53.93594262933671	val ppl: 116.52037496535317	best val: 112.8703543949744	time (s) spent in epoch: 680.3835091590881
epoch: 32	train ppl: 52.8494634384097	val ppl: 117.92148993503086	best val: 112.8703543949744	time (s) spent in epoch: 680.6742713451385
epoch: 33	train ppl: 51.699409060289966	val ppl: 118.73069940144595	best val: 112.8703543949744	time (s) spent in epoch: 680.5931537151337
epoch: 34	train ppl: 50.450225253654644	val ppl: 118.4960867644226	best val: 112.8703543949744	time (s) spent in epoch: 681.1168172359467
epoch: 35	train ppl: 49.57087173769545	val ppl: 119.68573797976636	best val: 112.8703543949744	time (s) spent in epoch: 681.8398885726929
epoch: 36	train ppl: 48.547125726918466	val ppl: 120.31844287004385	best val: 112.8703543949744	time (s) spent in epoch: 681.4611539840698
epoch: 37	train ppl: 47.548227195955434	val ppl: 123.30304816887947	best val: 112.8703543949744	time (s) spent in epoch: 681.7907078266144
epoch: 38	train ppl: 46.56553027706533	val ppl: 122.62910822002647	best val: 112.8703543949744	time (s) spent in epoch: 681.8154881000519
epoch: 39	train ppl: 45.695555621628905	val ppl: 123.26138881466652	best val: 112.8703543949744	time (s) spent in epoch: 681.8011441230774
