epoch: 0	train ppl: 372.29726121677203	val ppl: 227.10758703139823	best val: 227.10758703139823	time (s) spent in epoch: 311.7099826335907
epoch: 1	train ppl: 179.09407405111463	val ppl: 168.33426809109037	best val: 168.33426809109037	time (s) spent in epoch: 310.1066107749939
epoch: 2	train ppl: 129.85376990360393	val ppl: 145.11529717985772	best val: 145.11529717985772	time (s) spent in epoch: 309.3505771160126
epoch: 3	train ppl: 101.80528217753705	val ppl: 134.4443825290572	best val: 134.4443825290572	time (s) spent in epoch: 309.295606136322
epoch: 4	train ppl: 82.99509400315624	val ppl: 128.3900413206043	best val: 128.3900413206043	time (s) spent in epoch: 309.0642125606537
epoch: 5	train ppl: 69.46421669784237	val ppl: 126.00573486889343	best val: 126.00573486889343	time (s) spent in epoch: 309.2209219932556
epoch: 6	train ppl: 59.27154798892828	val ppl: 125.71276609570971	best val: 125.71276609570971	time (s) spent in epoch: 308.76683259010315
epoch: 7	train ppl: 51.26283636138115	val ppl: 127.64659643096554	best val: 125.71276609570971	time (s) spent in epoch: 308.23221611976624
epoch: 8	train ppl: 44.879334312744355	val ppl: 130.20914909126213	best val: 125.71276609570971	time (s) spent in epoch: 307.94333958625793
epoch: 9	train ppl: 39.74617388955897	val ppl: 133.65141826452108	best val: 125.71276609570971	time (s) spent in epoch: 308.07510232925415
epoch: 10	train ppl: 35.444058985782014	val ppl: 138.1875612823772	best val: 125.71276609570971	time (s) spent in epoch: 308.1340825557709
epoch: 11	train ppl: 31.844998437571764	val ppl: 143.09652842611337	best val: 125.71276609570971	time (s) spent in epoch: 308.0530972480774
epoch: 12	train ppl: 28.876196537315398	val ppl: 148.2146980240582	best val: 125.71276609570971	time (s) spent in epoch: 308.12775802612305
epoch: 13	train ppl: 26.381371114163226	val ppl: 154.26053695321554	best val: 125.71276609570971	time (s) spent in epoch: 308.35384368896484
epoch: 14	train ppl: 24.31946157927842	val ppl: 160.24024718521906	best val: 125.71276609570971	time (s) spent in epoch: 308.7874503135681
epoch: 15	train ppl: 22.50009217153632	val ppl: 167.33586604910855	best val: 125.71276609570971	time (s) spent in epoch: 308.6131839752197
epoch: 16	train ppl: 20.9980154032086	val ppl: 172.75587141333136	best val: 125.71276609570971	time (s) spent in epoch: 308.529892206192
epoch: 17	train ppl: 19.667459612268992	val ppl: 180.37275861210057	best val: 125.71276609570971	time (s) spent in epoch: 311.9748885631561
epoch: 18	train ppl: 18.518175982192552	val ppl: 186.3075328904069	best val: 125.71276609570971	time (s) spent in epoch: 311.8810975551605
epoch: 19	train ppl: 17.545575544006372	val ppl: 193.06547021033396	best val: 125.71276609570971	time (s) spent in epoch: 310.68384313583374
epoch: 20	train ppl: 16.679107529262993	val ppl: 199.78038673123646	best val: 125.71276609570971	time (s) spent in epoch: 308.3300745487213
epoch: 21	train ppl: 15.922934692701212	val ppl: 206.93179164304325	best val: 125.71276609570971	time (s) spent in epoch: 308.2939147949219
epoch: 22	train ppl: 15.22458591564436	val ppl: 214.74714630256474	best val: 125.71276609570971	time (s) spent in epoch: 306.3712365627289
epoch: 23	train ppl: 14.643816672022611	val ppl: 221.20761719061397	best val: 125.71276609570971	time (s) spent in epoch: 303.11524510383606
epoch: 24	train ppl: 14.11842122405292	val ppl: 229.90015145223182	best val: 125.71276609570971	time (s) spent in epoch: 299.1190855503082
epoch: 25	train ppl: 13.615073157178628	val ppl: 236.50767720699898	best val: 125.71276609570971	time (s) spent in epoch: 298.6594588756561
epoch: 26	train ppl: 13.186249257932975	val ppl: 243.4654488646655	best val: 125.71276609570971	time (s) spent in epoch: 298.72465658187866
epoch: 27	train ppl: 12.78136143535675	val ppl: 252.50746018117243	best val: 125.71276609570971	time (s) spent in epoch: 298.54784297943115
epoch: 28	train ppl: 12.431470427415627	val ppl: 260.990278213549	best val: 125.71276609570971	time (s) spent in epoch: 298.78742837905884
epoch: 29	train ppl: 12.107164987144946	val ppl: 268.57137543015364	best val: 125.71276609570971	time (s) spent in epoch: 299.24246621131897
epoch: 30	train ppl: 11.780396331611453	val ppl: 277.19179025331766	best val: 125.71276609570971	time (s) spent in epoch: 299.1419632434845
epoch: 31	train ppl: 11.515445566434572	val ppl: 285.27207476117394	best val: 125.71276609570971	time (s) spent in epoch: 299.07250595092773
epoch: 32	train ppl: 11.237345008801931	val ppl: 293.83735554058114	best val: 125.71276609570971	time (s) spent in epoch: 299.2010142803192
epoch: 33	train ppl: 10.985129312719458	val ppl: 302.0155293869371	best val: 125.71276609570971	time (s) spent in epoch: 299.2630169391632
epoch: 34	train ppl: 10.782410991062676	val ppl: 309.5935121253658	best val: 125.71276609570971	time (s) spent in epoch: 299.18594551086426
epoch: 35	train ppl: 10.561050403954216	val ppl: 318.4426579466902	best val: 125.71276609570971	time (s) spent in epoch: 299.23968029022217
epoch: 36	train ppl: 10.372590676865377	val ppl: 325.4859030944372	best val: 125.71276609570971	time (s) spent in epoch: 299.2266299724579
epoch: 37	train ppl: 10.17540238907132	val ppl: 332.55496049416524	best val: 125.71276609570971	time (s) spent in epoch: 299.1726133823395
epoch: 38	train ppl: 10.003763488645648	val ppl: 340.671745486781	best val: 125.71276609570971	time (s) spent in epoch: 299.2403964996338
epoch: 39	train ppl: 9.844186621252504	val ppl: 350.802145433368	best val: 125.71276609570971	time (s) spent in epoch: 299.3660497665405
