epoch: 0	train ppl: 633.6211418851577	val ppl: 377.5949525397294	best val: 377.5949525397294	time (s) spent in epoch: 423.9146990776062
epoch: 1	train ppl: 293.128394644369	val ppl: 245.93843739395797	best val: 245.93843739395797	time (s) spent in epoch: 424.31998014450073
epoch: 2	train ppl: 206.8285902948381	val ppl: 198.01379404415155	best val: 198.01379404415155	time (s) spent in epoch: 426.43506360054016
epoch: 3	train ppl: 163.93186608168546	val ppl: 173.20578032535747	best val: 173.20578032535747	time (s) spent in epoch: 426.6142783164978
epoch: 4	train ppl: 136.18570836410322	val ppl: 157.09973224320083	best val: 157.09973224320083	time (s) spent in epoch: 425.4750266075134
epoch: 5	train ppl: 115.88967813258837	val ppl: 148.22724269514623	best val: 148.22724269514623	time (s) spent in epoch: 425.0609574317932
epoch: 6	train ppl: 99.79678579568622	val ppl: 143.36793482816745	best val: 143.36793482816745	time (s) spent in epoch: 426.4000301361084
epoch: 7	train ppl: 86.70296983380996	val ppl: 141.06209695522278	best val: 141.06209695522278	time (s) spent in epoch: 424.5657768249512
epoch: 8	train ppl: 75.60726819170462	val ppl: 140.97829169063473	best val: 140.97829169063473	time (s) spent in epoch: 424.4112112522125
epoch: 9	train ppl: 66.16588025696133	val ppl: 143.34511912495003	best val: 140.97829169063473	time (s) spent in epoch: 422.5984616279602
epoch: 10	train ppl: 58.00540533704686	val ppl: 146.4581276396473	best val: 140.97829169063473	time (s) spent in epoch: 421.74208188056946
epoch: 11	train ppl: 50.95529614071358	val ppl: 152.0699994731433	best val: 140.97829169063473	time (s) spent in epoch: 421.16465735435486
epoch: 12	train ppl: 44.883563129442486	val ppl: 158.23890313519075	best val: 140.97829169063473	time (s) spent in epoch: 421.4952037334442
epoch: 13	train ppl: 39.851337282378154	val ppl: 162.91395618763312	best val: 140.97829169063473	time (s) spent in epoch: 421.65412425994873
epoch: 14	train ppl: 35.4585355757633	val ppl: 169.39667915273026	best val: 140.97829169063473	time (s) spent in epoch: 421.6803903579712
epoch: 15	train ppl: 31.86845161551911	val ppl: 176.27978457639358	best val: 140.97829169063473	time (s) spent in epoch: 421.7603483200073
epoch: 16	train ppl: 28.76951368762619	val ppl: 183.5651288604842	best val: 140.97829169063473	time (s) spent in epoch: 421.8497951030731
epoch: 17	train ppl: 26.26369001970864	val ppl: 188.25209752167032	best val: 140.97829169063473	time (s) spent in epoch: 421.85485649108887
epoch: 18	train ppl: 24.09053743946832	val ppl: 195.38532502714202	best val: 140.97829169063473	time (s) spent in epoch: 421.65958976745605
epoch: 19	train ppl: 22.27085316312392	val ppl: 202.9761556763934	best val: 140.97829169063473	time (s) spent in epoch: 421.1975853443146
epoch: 20	train ppl: 20.737191139481915	val ppl: 209.64241573691928	best val: 140.97829169063473	time (s) spent in epoch: 421.8296046257019
epoch: 21	train ppl: 19.405373606312715	val ppl: 216.29283748674712	best val: 140.97829169063473	time (s) spent in epoch: 422.50002932548523
epoch: 22	train ppl: 18.2565220918071	val ppl: 221.64092287450745	best val: 140.97829169063473	time (s) spent in epoch: 422.6198959350586
epoch: 23	train ppl: 17.291905061922364	val ppl: 228.96566158617796	best val: 140.97829169063473	time (s) spent in epoch: 422.5924425125122
epoch: 24	train ppl: 16.43464468983712	val ppl: 234.11421151560043	best val: 140.97829169063473	time (s) spent in epoch: 422.7191698551178
epoch: 25	train ppl: 15.651379556418577	val ppl: 240.38998403125544	best val: 140.97829169063473	time (s) spent in epoch: 422.9477913379669
epoch: 26	train ppl: 14.937803251423718	val ppl: 245.4105204074297	best val: 140.97829169063473	time (s) spent in epoch: 423.07123470306396
epoch: 27	train ppl: 14.350965607898889	val ppl: 252.47362865972048	best val: 140.97829169063473	time (s) spent in epoch: 422.82787680625916
epoch: 28	train ppl: 13.770210270533038	val ppl: 257.0526391582824	best val: 140.97829169063473	time (s) spent in epoch: 422.9659993648529
epoch: 29	train ppl: 13.278168831864368	val ppl: 263.5759943406889	best val: 140.97829169063473	time (s) spent in epoch: 422.95639181137085
epoch: 30	train ppl: 12.806969612718547	val ppl: 268.9994724291992	best val: 140.97829169063473	time (s) spent in epoch: 423.05450105667114
epoch: 31	train ppl: 12.361793223881516	val ppl: 273.4314038568078	best val: 140.97829169063473	time (s) spent in epoch: 423.0948586463928
epoch: 32	train ppl: 11.949458354162351	val ppl: 280.9783289940295	best val: 140.97829169063473	time (s) spent in epoch: 423.1482172012329
epoch: 33	train ppl: 11.584711732374705	val ppl: 285.8404601447437	best val: 140.97829169063473	time (s) spent in epoch: 423.1701078414917
epoch: 34	train ppl: 11.242483792294898	val ppl: 290.94586238959704	best val: 140.97829169063473	time (s) spent in epoch: 423.0761556625366
epoch: 35	train ppl: 10.945405560750357	val ppl: 295.43624642547496	best val: 140.97829169063473	time (s) spent in epoch: 423.09205079078674
epoch: 36	train ppl: 10.621518578927867	val ppl: 300.2126634773358	best val: 140.97829169063473	time (s) spent in epoch: 423.08793902397156
epoch: 37	train ppl: 10.350645039902016	val ppl: 304.67596022433065	best val: 140.97829169063473	time (s) spent in epoch: 423.0815312862396
epoch: 38	train ppl: 10.095655521005122	val ppl: 311.62222050797976	best val: 140.97829169063473	time (s) spent in epoch: 423.0260798931122
epoch: 39	train ppl: 9.839130260823218	val ppl: 314.96192461583564	best val: 140.97829169063473	time (s) spent in epoch: 423.1760768890381
