epoch: 0	train ppl: 356.72079276414047	val ppl: 233.65341990748672	best val: 233.65341990748672	time (s) spent in epoch: 174.99159264564514
epoch: 1	train ppl: 192.68727211935655	val ppl: 190.7368822817442	best val: 190.7368822817442	time (s) spent in epoch: 174.6513648033142
epoch: 2	train ppl: 149.55548446537017	val ppl: 173.46560284238387	best val: 173.46560284238387	time (s) spent in epoch: 174.43574786186218
epoch: 3	train ppl: 124.90870673181192	val ppl: 165.83558657451863	best val: 165.83558657451863	time (s) spent in epoch: 173.89183020591736
epoch: 4	train ppl: 107.91049441902628	val ppl: 164.71687051618792	best val: 164.71687051618792	time (s) spent in epoch: 173.84082770347595
epoch: 5	train ppl: 95.64280718235379	val ppl: 164.14151257253152	best val: 164.14151257253152	time (s) spent in epoch: 173.68961906433105
epoch: 6	train ppl: 85.4811842156999	val ppl: 162.7784573760128	best val: 162.7784573760128	time (s) spent in epoch: 173.72352862358093
epoch: 7	train ppl: 77.68039631737823	val ppl: 163.9790781274231	best val: 162.7784573760128	time (s) spent in epoch: 173.50158548355103
epoch: 8	train ppl: 71.2356625096578	val ppl: 165.6125971481631	best val: 162.7784573760128	time (s) spent in epoch: 173.57000708580017
epoch: 9	train ppl: 66.05825987008046	val ppl: 169.10569580575404	best val: 162.7784573760128	time (s) spent in epoch: 173.5346610546112
epoch: 10	train ppl: 61.532629317464036	val ppl: 170.87092245215675	best val: 162.7784573760128	time (s) spent in epoch: 173.55173540115356
epoch: 11	train ppl: 57.57255401432926	val ppl: 173.76291179539862	best val: 162.7784573760128	time (s) spent in epoch: 173.5205693244934
epoch: 12	train ppl: 54.345357121505565	val ppl: 176.04354181129347	best val: 162.7784573760128	time (s) spent in epoch: 173.5501561164856
epoch: 13	train ppl: 51.45610333126973	val ppl: 178.2721029967467	best val: 162.7784573760128	time (s) spent in epoch: 173.6138527393341
epoch: 14	train ppl: 48.85948569958158	val ppl: 181.11250561070548	best val: 162.7784573760128	time (s) spent in epoch: 173.56156492233276
epoch: 15	train ppl: 46.67441430517512	val ppl: 184.2614951512546	best val: 162.7784573760128	time (s) spent in epoch: 173.53375601768494
epoch: 16	train ppl: 44.69412604990562	val ppl: 187.63389378456642	best val: 162.7784573760128	time (s) spent in epoch: 173.59465193748474
epoch: 17	train ppl: 42.983749534395415	val ppl: 191.65946878089983	best val: 162.7784573760128	time (s) spent in epoch: 173.57729959487915
epoch: 18	train ppl: 41.482763895568596	val ppl: 194.16908596875265	best val: 162.7784573760128	time (s) spent in epoch: 173.55438113212585
epoch: 19	train ppl: 40.047518542777055	val ppl: 196.8239523328524	best val: 162.7784573760128	time (s) spent in epoch: 173.59008622169495
epoch: 20	train ppl: 38.77094551701932	val ppl: 199.6853386277232	best val: 162.7784573760128	time (s) spent in epoch: 173.53147149085999
epoch: 21	train ppl: 37.65280756074443	val ppl: 203.5682599916297	best val: 162.7784573760128	time (s) spent in epoch: 173.54304695129395
epoch: 22	train ppl: 36.62998929899086	val ppl: 206.9786999204193	best val: 162.7784573760128	time (s) spent in epoch: 173.57108283042908
epoch: 23	train ppl: 35.80420530321854	val ppl: 210.45552213821657	best val: 162.7784573760128	time (s) spent in epoch: 173.57510113716125
epoch: 24	train ppl: 34.961104717508306	val ppl: 214.38046806803857	best val: 162.7784573760128	time (s) spent in epoch: 173.51705193519592
epoch: 25	train ppl: 34.15544165716687	val ppl: 217.5076836916377	best val: 162.7784573760128	time (s) spent in epoch: 173.61034965515137
epoch: 26	train ppl: 33.42505468335057	val ppl: 219.62073597665395	best val: 162.7784573760128	time (s) spent in epoch: 173.6011209487915
epoch: 27	train ppl: 32.866631006696416	val ppl: 223.90945008659162	best val: 162.7784573760128	time (s) spent in epoch: 173.5725347995758
epoch: 28	train ppl: 32.20593522983231	val ppl: 225.83561184525067	best val: 162.7784573760128	time (s) spent in epoch: 173.57966780662537
epoch: 29	train ppl: 31.74487777514089	val ppl: 229.5887309208512	best val: 162.7784573760128	time (s) spent in epoch: 173.5748414993286
epoch: 30	train ppl: 31.23754534034967	val ppl: 231.95949355871568	best val: 162.7784573760128	time (s) spent in epoch: 173.5687336921692
epoch: 31	train ppl: 30.729677354342144	val ppl: 235.8452671552851	best val: 162.7784573760128	time (s) spent in epoch: 173.5952935218811
epoch: 32	train ppl: 30.32054006374226	val ppl: 239.595793599735	best val: 162.7784573760128	time (s) spent in epoch: 173.56961870193481
epoch: 33	train ppl: 29.840264629281993	val ppl: 243.35153612757534	best val: 162.7784573760128	time (s) spent in epoch: 173.5397412776947
epoch: 34	train ppl: 29.52982882009227	val ppl: 246.48964173266268	best val: 162.7784573760128	time (s) spent in epoch: 173.58270812034607
epoch: 35	train ppl: 29.124449380562403	val ppl: 248.9653389531471	best val: 162.7784573760128	time (s) spent in epoch: 173.51228952407837
epoch: 36	train ppl: 28.755812875415877	val ppl: 251.79191465579584	best val: 162.7784573760128	time (s) spent in epoch: 173.56024074554443
epoch: 37	train ppl: 28.514820285376747	val ppl: 253.76797737644924	best val: 162.7784573760128	time (s) spent in epoch: 173.63158297538757
epoch: 38	train ppl: 28.176989780968828	val ppl: 256.8662687035122	best val: 162.7784573760128	time (s) spent in epoch: 173.5142707824707
epoch: 39	train ppl: 27.90998864663707	val ppl: 259.7711231184565	best val: 162.7784573760128	time (s) spent in epoch: 173.56341814994812
