epoch: 0	train ppl: 830.6016877528467	val ppl: 442.90732466275085	best val: 442.90732466275085	time (s) spent in epoch: 281.1230607032776
epoch: 1	train ppl: 488.0342733049427	val ppl: 366.8710141117732	best val: 366.8710141117732	time (s) spent in epoch: 281.0387477874756
epoch: 2	train ppl: 415.09199717002855	val ppl: 308.3076809327502	best val: 308.3076809327502	time (s) spent in epoch: 281.2590687274933
epoch: 3	train ppl: 373.85955435961944	val ppl: 286.53516314137147	best val: 286.53516314137147	time (s) spent in epoch: 281.1934757232666
epoch: 4	train ppl: 346.0630160643944	val ppl: 270.5794699723251	best val: 270.5794699723251	time (s) spent in epoch: 282.7254900932312
epoch: 5	train ppl: 324.81701344687906	val ppl: 263.87647203301117	best val: 263.87647203301117	time (s) spent in epoch: 279.8089210987091
epoch: 6	train ppl: 308.25033017114123	val ppl: 257.45172519574714	best val: 257.45172519574714	time (s) spent in epoch: 279.95972990989685
epoch: 7	train ppl: 294.8497352900602	val ppl: 244.15555175741852	best val: 244.15555175741852	time (s) spent in epoch: 279.65282225608826
epoch: 8	train ppl: 283.41714446877774	val ppl: 233.1709380251157	best val: 233.1709380251157	time (s) spent in epoch: 279.7609167098999
epoch: 9	train ppl: 275.1664762396546	val ppl: 236.47148072891866	best val: 233.1709380251157	time (s) spent in epoch: 279.1742022037506
epoch: 10	train ppl: 268.60789666412745	val ppl: 224.61708986702516	best val: 224.61708986702516	time (s) spent in epoch: 279.7252938747406
epoch: 11	train ppl: 262.0127466562045	val ppl: 234.74023892429125	best val: 224.61708986702516	time (s) spent in epoch: 279.0314326286316
epoch: 12	train ppl: 256.65826734945216	val ppl: 230.40123913555647	best val: 224.61708986702516	time (s) spent in epoch: 279.3536868095398
epoch: 13	train ppl: 253.38305509650456	val ppl: 217.30185751496128	best val: 217.30185751496128	time (s) spent in epoch: 280.833101272583
epoch: 14	train ppl: 247.71094430263202	val ppl: 220.75227327706048	best val: 217.30185751496128	time (s) spent in epoch: 280.36030888557434
epoch: 15	train ppl: 243.22736083866124	val ppl: 226.92920303489217	best val: 217.30185751496128	time (s) spent in epoch: 280.53617238998413
epoch: 16	train ppl: 237.90037077487406	val ppl: 218.5559531548797	best val: 217.30185751496128	time (s) spent in epoch: 280.5426149368286
epoch: 17	train ppl: 233.20422454772648	val ppl: 213.33527428023075	best val: 213.33527428023075	time (s) spent in epoch: 281.16747879981995
epoch: 18	train ppl: 229.26744214215014	val ppl: 209.55228180293096	best val: 209.55228180293096	time (s) spent in epoch: 281.3367266654968
epoch: 19	train ppl: 226.71552471906836	val ppl: 214.95719612891517	best val: 209.55228180293096	time (s) spent in epoch: 280.5694422721863
epoch: 20	train ppl: 223.83237656336587	val ppl: 215.86427840518417	best val: 209.55228180293096	time (s) spent in epoch: 280.54419708251953
epoch: 21	train ppl: 221.87892245309513	val ppl: 207.19626842233302	best val: 207.19626842233302	time (s) spent in epoch: 281.3604362010956
epoch: 22	train ppl: 219.37239007322557	val ppl: 202.59440322018241	best val: 202.59440322018241	time (s) spent in epoch: 281.3557412624359
epoch: 23	train ppl: 218.36886187240268	val ppl: 206.68786312253553	best val: 202.59440322018241	time (s) spent in epoch: 280.59673857688904
epoch: 24	train ppl: 216.05153740778263	val ppl: 216.04087917231155	best val: 202.59440322018241	time (s) spent in epoch: 280.5833613872528
epoch: 25	train ppl: 213.69388669942578	val ppl: 215.09365059099238	best val: 202.59440322018241	time (s) spent in epoch: 280.4746425151825
epoch: 26	train ppl: 211.0680980325493	val ppl: 220.71140267236515	best val: 202.59440322018241	time (s) spent in epoch: 280.4121205806732
epoch: 27	train ppl: 210.4345213108658	val ppl: 216.47831983586187	best val: 202.59440322018241	time (s) spent in epoch: 280.6380136013031
epoch: 28	train ppl: 206.1604742505735	val ppl: 212.93224852370656	best val: 202.59440322018241	time (s) spent in epoch: 280.4977390766144
epoch: 29	train ppl: 204.15907310254147	val ppl: 219.40869472054655	best val: 202.59440322018241	time (s) spent in epoch: 280.33162569999695
epoch: 30	train ppl: 202.00851270660257	val ppl: 207.41546091839177	best val: 202.59440322018241	time (s) spent in epoch: 280.4517195224762
epoch: 31	train ppl: 201.1095324331725	val ppl: 206.83535769469907	best val: 202.59440322018241	time (s) spent in epoch: 280.60706424713135
epoch: 32	train ppl: 199.13500583791364	val ppl: 205.68470966310113	best val: 202.59440322018241	time (s) spent in epoch: 280.33989214897156
epoch: 33	train ppl: 199.48093196427266	val ppl: 199.0675458476656	best val: 199.0675458476656	time (s) spent in epoch: 281.3413465023041
epoch: 34	train ppl: 199.61213157774392	val ppl: 199.19155509832765	best val: 199.0675458476656	time (s) spent in epoch: 280.5852370262146
epoch: 35	train ppl: 198.16512552278468	val ppl: 210.2018360726689	best val: 199.0675458476656	time (s) spent in epoch: 280.5958502292633
epoch: 36	train ppl: 197.8363564177833	val ppl: 204.45359931897434	best val: 199.0675458476656	time (s) spent in epoch: 280.60226559638977
epoch: 37	train ppl: 195.7426086364493	val ppl: 208.42537359066117	best val: 199.0675458476656	time (s) spent in epoch: 280.63616943359375
epoch: 38	train ppl: 194.45171183993696	val ppl: 200.32176854809902	best val: 199.0675458476656	time (s) spent in epoch: 280.5565173625946
epoch: 39	train ppl: 194.91255190885155	val ppl: 208.64803984188404	best val: 199.0675458476656	time (s) spent in epoch: 280.4326093196869
