epoch: 0	train ppl: 304.34245613617276	val ppl: 196.12674821499084	best val: 196.12674821499084	time (s) spent in epoch: 345.8844656944275
epoch: 1	train ppl: 140.2049563929981	val ppl: 156.92058460764707	best val: 156.92058460764707	time (s) spent in epoch: 345.96863651275635
epoch: 2	train ppl: 95.39161199544448	val ppl: 144.17018467036118	best val: 144.17018467036118	time (s) spent in epoch: 349.5143554210663
epoch: 3	train ppl: 69.53750044099378	val ppl: 141.67461946608984	best val: 141.67461946608984	time (s) spent in epoch: 347.1027147769928
epoch: 4	train ppl: 51.98797608923634	val ppl: 145.26614013527774	best val: 141.67461946608984	time (s) spent in epoch: 341.6678628921509
epoch: 5	train ppl: 39.20210641393829	val ppl: 155.34354131614046	best val: 141.67461946608984	time (s) spent in epoch: 344.535786151886
epoch: 6	train ppl: 29.74322507523673	val ppl: 171.1144729488748	best val: 141.67461946608984	time (s) spent in epoch: 344.2836022377014
epoch: 7	train ppl: 22.65239847766779	val ppl: 192.55590743193014	best val: 141.67461946608984	time (s) spent in epoch: 345.45126700401306
epoch: 8	train ppl: 17.354902173045417	val ppl: 222.31115576835285	best val: 141.67461946608984	time (s) spent in epoch: 344.122624874115
epoch: 9	train ppl: 13.431580596042961	val ppl: 260.10094771998985	best val: 141.67461946608984	time (s) spent in epoch: 323.9152228832245
epoch: 10	train ppl: 10.537293951729417	val ppl: 312.08339182485304	best val: 141.67461946608984	time (s) spent in epoch: 314.63711380958557
epoch: 11	train ppl: 8.390592765621632	val ppl: 372.3417011178008	best val: 141.67461946608984	time (s) spent in epoch: 330.7962634563446
epoch: 12	train ppl: 6.7867834361890935	val ppl: 453.0965659212799	best val: 141.67461946608984	time (s) spent in epoch: 375.3577616214752
epoch: 13	train ppl: 5.605068422508011	val ppl: 548.0064313653774	best val: 141.67461946608984	time (s) spent in epoch: 380.0884282588959
epoch: 14	train ppl: 4.728618300458208	val ppl: 637.0012150503045	best val: 141.67461946608984	time (s) spent in epoch: 379.60294342041016
epoch: 15	train ppl: 4.058452235470754	val ppl: 752.7307655414215	best val: 141.67461946608984	time (s) spent in epoch: 377.36671924591064
epoch: 16	train ppl: 3.5579291192993043	val ppl: 903.6629611592824	best val: 141.67461946608984	time (s) spent in epoch: 381.6066732406616
epoch: 17	train ppl: 3.171342380017017	val ppl: 1054.3080266173065	best val: 141.67461946608984	time (s) spent in epoch: 382.5417757034302
epoch: 18	train ppl: 2.8711927732416602	val ppl: 1250.4819558025736	best val: 141.67461946608984	time (s) spent in epoch: 377.5303843021393
epoch: 19	train ppl: 2.635143704361582	val ppl: 1451.057065472398	best val: 141.67461946608984	time (s) spent in epoch: 378.0770275592804
epoch: 20	train ppl: 2.44851813405206	val ppl: 1625.9127127176869	best val: 141.67461946608984	time (s) spent in epoch: 379.11411714553833
epoch: 21	train ppl: 2.3002447628839873	val ppl: 1909.0822792134634	best val: 141.67461946608984	time (s) spent in epoch: 375.9165415763855
epoch: 22	train ppl: 2.1836050623328744	val ppl: 2126.0918040804318	best val: 141.67461946608984	time (s) spent in epoch: 376.6949796676636
epoch: 23	train ppl: 2.079537757378295	val ppl: 2406.099476523659	best val: 141.67461946608984	time (s) spent in epoch: 376.8513271808624
epoch: 24	train ppl: 1.995573177679279	val ppl: 2665.9909051493178	best val: 141.67461946608984	time (s) spent in epoch: 377.7485749721527
epoch: 25	train ppl: 1.9269935951671417	val ppl: 2980.241975370424	best val: 141.67461946608984	time (s) spent in epoch: 375.2640497684479
epoch: 26	train ppl: 1.8639515322668652	val ppl: 3326.864990064873	best val: 141.67461946608984	time (s) spent in epoch: 377.2586302757263
epoch: 27	train ppl: 1.8148801444900156	val ppl: 3638.5107954138794	best val: 141.67461946608984	time (s) spent in epoch: 376.20291924476624
epoch: 28	train ppl: 1.7689417027837842	val ppl: 3967.8115483851698	best val: 141.67461946608984	time (s) spent in epoch: 374.5343265533447
epoch: 29	train ppl: 1.7338036973025575	val ppl: 4264.873041665597	best val: 141.67461946608984	time (s) spent in epoch: 374.26876187324524
epoch: 30	train ppl: 1.6965101760116106	val ppl: 4655.069731989049	best val: 141.67461946608984	time (s) spent in epoch: 375.7740547657013
epoch: 31	train ppl: 1.667401883118915	val ppl: 4986.27418186159	best val: 141.67461946608984	time (s) spent in epoch: 378.5280330181122
epoch: 32	train ppl: 1.6399611482347505	val ppl: 5427.894177884122	best val: 141.67461946608984	time (s) spent in epoch: 379.23307752609253
epoch: 33	train ppl: 1.6147941316557357	val ppl: 5751.816974466427	best val: 141.67461946608984	time (s) spent in epoch: 374.86629939079285
epoch: 34	train ppl: 1.59451817474709	val ppl: 6302.132959785834	best val: 141.67461946608984	time (s) spent in epoch: 373.20736932754517
epoch: 35	train ppl: 1.5747522632770585	val ppl: 6605.783704384601	best val: 141.67461946608984	time (s) spent in epoch: 371.20059275627136
epoch: 36	train ppl: 1.556585101239992	val ppl: 7094.533653650339	best val: 141.67461946608984	time (s) spent in epoch: 370.60010719299316
epoch: 37	train ppl: 1.5404387387320633	val ppl: 7335.432780552753	best val: 141.67461946608984	time (s) spent in epoch: 369.59698605537415
epoch: 38	train ppl: 1.5225979549480817	val ppl: 7727.477246669957	best val: 141.67461946608984	time (s) spent in epoch: 350.71328711509705
epoch: 39	train ppl: 1.5119908458976592	val ppl: 8024.635105933905	best val: 141.67461946608984	time (s) spent in epoch: 311.26794147491455
