epoch: 0	train ppl: 521.6363338897793	val ppl: 399.61989130760634	best val: 399.61989130760634	time (s) spent in epoch: 298.31900334358215
epoch: 1	train ppl: 255.69829678684061	val ppl: 268.2596280561729	best val: 268.2596280561729	time (s) spent in epoch: 298.1714038848877
epoch: 2	train ppl: 191.52623511651623	val ppl: 225.50848771514626	best val: 225.50848771514626	time (s) spent in epoch: 298.7203199863434
epoch: 3	train ppl: 156.5311445982014	val ppl: 194.70756393665457	best val: 194.70756393665457	time (s) spent in epoch: 298.9403831958771
epoch: 4	train ppl: 133.71686687100905	val ppl: 184.18089940582408	best val: 184.18089940582408	time (s) spent in epoch: 299.45407819747925
epoch: 5	train ppl: 117.07007319405949	val ppl: 176.97562475479535	best val: 176.97562475479535	time (s) spent in epoch: 299.0239441394806
epoch: 6	train ppl: 104.47792618006721	val ppl: 173.164962334069	best val: 173.164962334069	time (s) spent in epoch: 300.12331223487854
epoch: 7	train ppl: 94.36306992589319	val ppl: 172.86078618157728	best val: 172.86078618157728	time (s) spent in epoch: 298.65656900405884
epoch: 8	train ppl: 86.06033839238796	val ppl: 174.3880228514268	best val: 172.86078618157728	time (s) spent in epoch: 295.785032749176
epoch: 9	train ppl: 79.12822446650344	val ppl: 176.143088907841	best val: 172.86078618157728	time (s) spent in epoch: 295.73864459991455
epoch: 10	train ppl: 73.2483046447211	val ppl: 178.75633153450522	best val: 172.86078618157728	time (s) spent in epoch: 295.78783226013184
epoch: 11	train ppl: 68.01809089960558	val ppl: 183.73795397204023	best val: 172.86078618157728	time (s) spent in epoch: 295.8061327934265
epoch: 12	train ppl: 63.45341932312065	val ppl: 187.64088777951744	best val: 172.86078618157728	time (s) spent in epoch: 295.87080812454224
epoch: 13	train ppl: 59.40048355560217	val ppl: 190.1708856430881	best val: 172.86078618157728	time (s) spent in epoch: 294.24922251701355
epoch: 14	train ppl: 55.828091883954144	val ppl: 198.1999840053588	best val: 172.86078618157728	time (s) spent in epoch: 292.70591497421265
epoch: 15	train ppl: 51.144359395862814	val ppl: 204.51644122149992	best val: 172.86078618157728	time (s) spent in epoch: 292.7208390235901
epoch: 16	train ppl: 46.2436485352763	val ppl: 210.18558368920907	best val: 172.86078618157728	time (s) spent in epoch: 292.5613009929657
epoch: 17	train ppl: 42.16647143622774	val ppl: 214.42047306201286	best val: 172.86078618157728	time (s) spent in epoch: 292.5029065608978
epoch: 18	train ppl: 39.27369394696442	val ppl: 214.16368865403567	best val: 172.86078618157728	time (s) spent in epoch: 292.12731409072876
epoch: 19	train ppl: 37.60647375890937	val ppl: 212.1310411834757	best val: 172.86078618157728	time (s) spent in epoch: 291.4359276294708
epoch: 20	train ppl: 36.62634172331117	val ppl: 211.06901725119138	best val: 172.86078618157728	time (s) spent in epoch: 291.4391794204712
epoch: 21	train ppl: 36.2277462101216	val ppl: 209.98362397197494	best val: 172.86078618157728	time (s) spent in epoch: 291.47023272514343
epoch: 22	train ppl: 35.9932546316154	val ppl: 209.3901736961263	best val: 172.86078618157728	time (s) spent in epoch: 291.41204166412354
epoch: 23	train ppl: 35.91462161783354	val ppl: 209.22614192836645	best val: 172.86078618157728	time (s) spent in epoch: 291.5036733150482
epoch: 24	train ppl: 35.860067091123376	val ppl: 209.21128334245	best val: 172.86078618157728	time (s) spent in epoch: 291.4667296409607
epoch: 25	train ppl: 35.86950522847625	val ppl: 209.20349609064522	best val: 172.86078618157728	time (s) spent in epoch: 291.46232080459595
epoch: 26	train ppl: 35.91040582914048	val ppl: 209.20305409529422	best val: 172.86078618157728	time (s) spent in epoch: 291.47549057006836
epoch: 27	train ppl: 35.853884670456935	val ppl: 209.20342549410282	best val: 172.86078618157728	time (s) spent in epoch: 291.4126307964325
epoch: 28	train ppl: 35.86086765783673	val ppl: 209.20346386178585	best val: 172.86078618157728	time (s) spent in epoch: 291.44718956947327
epoch: 29	train ppl: 35.81674451733014	val ppl: 209.20346079237095	best val: 172.86078618157728	time (s) spent in epoch: 291.3683590888977
epoch: 30	train ppl: 35.88420022045413	val ppl: 209.20346232707848	best val: 172.86078618157728	time (s) spent in epoch: 291.4600450992584
epoch: 31	train ppl: 35.87674076889853	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.4924759864807
epoch: 32	train ppl: 35.887478834890075	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.4516382217407
epoch: 33	train ppl: 35.8534291629052	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.4493429660797
epoch: 34	train ppl: 35.8273651833781	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.6050148010254
epoch: 35	train ppl: 35.83041762926686	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.440580368042
epoch: 36	train ppl: 35.91717900600087	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.4793367385864
epoch: 37	train ppl: 35.827480215984544	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.45201301574707
epoch: 38	train ppl: 35.865573349313216	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.42627000808716
epoch: 39	train ppl: 35.83690051103593	val ppl: 209.20345465354126	best val: 172.86078618157728	time (s) spent in epoch: 291.39761114120483
